Wind power SE in MWh;;;;;;
Data was last updated 24-09-2018;;;;;;
;Hours;SE1;SE2;SE3;SE4;SE
20.01.2018;11 - 12;21;256;219;73;
20.01.2018;12 - 13;18;229;188;81;
20.01.2018;13 - 14;16;243;168;94;
20.01.2018;14 - 15;19;305;177;114;
20.01.2018;15 - 16;15;292;213;145;
20.01.2018;16 - 17;14;275;239;177;
20.01.2018;17 - 18;11;274;254;185;
20.01.2018;18 - 19;9;251;281;195;
20.01.2018;19 - 20;6;171;272;216;
20.01.2018;20 - 21;7;145;265;220;
20.01.2018;21 - 22;7;126;279;190;
20.01.2018;22 - 23;6;121;302;164;
20.01.2018;23 - 00;7;129;313;152;
21.01.2018;00 - 01;4;86;297;148;
21.01.2018;01 - 02;4;58;271;133;
21.01.2018;02 - 03;5;39;243;139;
21.01.2018;03 - 04;6;29;232;127;
21.01.2018;04 - 05;6;35;229;104;
21.01.2018;05 - 06;9;34;221;87;
21.01.2018;06 - 07;9;31;223;77;
21.01.2018;07 - 08;10;28;236;79;
21.01.2018;08 - 09;8;32;210;84;
21.01.2018;09 - 10;8;36;224;82;
21.01.2018;10 - 11;6;42;215;78;
21.01.2018;11 - 12;6;38;183;66;
21.01.2018;12 - 13;6;46;147;49;
21.01.2018;13 - 14;6;49;134;32;
21.01.2018;14 - 15;8;52;153;22;
21.01.2018;15 - 16;10;58;175;20;
21.01.2018;16 - 17;13;62;216;15;
21.01.2018;17 - 18;13;56;248;13;
21.01.2018;18 - 19;14;64;271;15;
21.01.2018;19 - 20;17;62;234;14;
21.01.2018;20 - 21;20;76;248;9;
21.01.2018;21 - 22;21;80;267;5;
21.01.2018;22 - 23;22;86;252;4;
21.01.2018;23 - 00;23;89;224;10;
22.01.2018;00 - 01;24;97;209;29;
22.01.2018;01 - 02;26;106;193;57;
22.01.2018;02 - 03;32;94;175;59;
22.01.2018;03 - 04;30;81;178;77;
22.01.2018;04 - 05;27;66;164;87;
22.01.2018;05 - 06;24;57;160;118;
22.01.2018;06 - 07;17;51;141;126;
22.01.2018;07 - 08;15;52;123;133;
22.01.2018;08 - 09;13;44;132;139;
22.01.2018;09 - 10;15;45;153;165;
22.01.2018;10 - 11;13;44;143;198;
22.01.2018;11 - 12;13;45;121;231;
22.01.2018;12 - 13;14;37;110;251;
22.01.2018;13 - 14;14;35;94;240;
22.01.2018;14 - 15;19;37;79;245;
22.01.2018;15 - 16;18;37;84;271;
22.01.2018;16 - 17;19;40;105;290;
22.01.2018;17 - 18;18;34;114;277;
22.01.2018;18 - 19;19;29;136;270;
22.01.2018;19 - 20;20;35;131;241;
22.01.2018;20 - 21;18;39;135;192;
22.01.2018;21 - 22;21;45;149;190;
22.01.2018;22 - 23;20;55;172;213;
22.01.2018;23 - 00;25;68;177;177;
23.01.2018;00 - 01;28;74;177;156;
23.01.2018;01 - 02;36;72;200;171;
23.01.2018;02 - 03;41;73;234;191;
23.01.2018;03 - 04;48;133;298;184;
